Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
Maruti 800 AC,2007,60000,364577.39,70000,Petrol,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,2007,135000,1202442.94,50000,Petrol,Individual,Manual,First Owner
Hyundai Verna 1.6 SX,2012,600000,2447352.45,100000,Diesel,Individual,Manual,First Owner
Datsun RediGO T Option,2017,250000,650086.18,46000,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,2014,450000,1705789.88,141000,Diesel,Individual,Manual,Second Owner
Maruti Alto LX BSIII,2007,140000,1184308.5,125000,Petrol,Individual,Manual,First Owner
Hyundai Xcent 1.2 Kappa S,2016,550000,1434629.16,25000,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,2014,240000,788535.31,60000,Petrol,Individual,Manual,Second Owner
Hyundai Creta 1.6 VTVT S,2015,850000,2181713.55,25000,Petrol,Individual,Manual,First Owner
Maruti Celerio Green VXI,2017,365000,842403.48,78000,CNG,Individual,Manual,First Owner
Chevrolet Sail 1.2 Base,2015,260000,620683.09,35000,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,2014,250000,909087.72,100000,Petrol,Individual,Manual,First Owner
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,3223029.89,25000,Petrol,Dealer,Automatic,First Owner
Maruti 800 AC,2007,60000,284912.12,70000,Petrol,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,2007,135000,666732.93,50000,Petrol,Individual,Manual,First Owner
Hyundai Verna 1.6 SX,2012,600000,1967152.75,100000,Diesel,Individual,Manual,First Owner
Datsun RediGO T Option,2017,250000,490807.37,46000,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,2014,450000,1439809.97,141000,Diesel,Individual,Manual,Second Owner
Maruti Alto LX BSIII,2007,140000,878270.5,125000,Petrol,Individual,Manual,First Owner
Hyundai Xcent 1.2 Kappa S,2016,550000,1233942.56,25000,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,2014,240000,592124.88,60000,Petrol,Individual,Manual,Second Owner
Hyundai Creta 1.6 VTVT S,2015,850000,2535902.64,25000,Petrol,Individual,Manual,First Owner
Maruti Celerio Green VXI,2017,365000,976628.22,78000,CNG,Individual,Manual,First Owner
Chevrolet Sail 1.2 Base,2015,260000,875306.93,35000,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,2014,250000,625759.74,100000,Petrol,Individual,Manual,First Owner
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,3143013.4,25000,Petrol,Dealer,Automatic,First Owner
Maruti Ciaz VXi Plus,2015,585000,1708924.7,24000,Petrol,Dealer,Manual,First Owner
Hyundai Venue SX Opt Diesel,2019,1195000,2622356.76,5000,Diesel,Dealer,Manual,First Owner
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000,1187120.37,33000,Diesel,Individual,Manual,Second Owner
Jaguar XF 2.2 Litre Luxury,2014,1964999,5135730.63,28000,Diesel,Dealer,Automatic,First Owner
Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,4141676.05,59000,Diesel,Dealer,Automatic,First Owner
Maruti Vitara Brezza ZDi Plus AMT,2018,975000,1857611.91,4500,Diesel,Dealer,Automatic,First Owner
Audi Q5 2.0 TDI,2011,1190000,7208113.75,175900,Diesel,Dealer,Automatic,First Owner
Honda City V MT,2018,930000,2159009.3,14500,Petrol,Dealer,Manual,First Owner
Tata Tigor 1.2 Revotron XT,2018,525000,1064018.56,15000,Petrol,Individual,Manual,First Owner
Audi A6 2.0 TDI  Design Edition,2013,1735000,4668551.12,50000,Diesel,Dealer,Automatic,First Owner
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,1375000,6056128.83,33800,Diesel,Dealer,Automatic,Second Owner
Skoda Superb Ambition 2.0 TDI CR AT,2011,450000,1859121.31,130400,Diesel,Dealer,Automatic,Second Owner
Toyota Corolla Altis G AT,2016,900000,2139035.63,50000,Petrol,Individual,Automatic,First Owner
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1300000,3354299.55,80000,Diesel,Individual,Manual,First Owner
Jeep Compass 1.4 Sport Plus BSIV,2019,1400000,2477258.84,10000,Petrol,Individual,Manual,First Owner
